From,To,Fastest Train Time
Köln hbf,Berlin hbf,4 h 7m
Berlin hbf,Darmstadt hbf,4 h 21m
Darmstadt hbf,Berlin hbf,4 h 21m
Berlin hbf,Düsseldorf hbf,4 h 21m
Düsseldorf hbf,Berlin hbf,4 h 21m
Berlin hbf,Karlsruhe hbf,5 h 12m
Karlsruhe hbf,Berlin hbf,5 h 12m
Berlin hbf,Hannover hbf,1 h 40m
Hannover hbf,Berlin hbf,1 h 40m
Berlin hbf,Paderborn hbf,3 h 49m
Paderborn hbf,Berlin hbf,3 h 49m
Berlin hbf,Fürth hbf,3 h 9m
Fürth hbf,Berlin hbf,3 h 9m
Berlin hbf,Gelsenkirchen hbf,3 h 55m
Gelsenkirchen hbf,Berlin hbf,3 h 55m
Berlin hbf,Neunkirchen hbf,6 h 24m
Neunkirchen hbf,Berlin hbf,6 h 24m
Berlin hbf,Nürnberg hbf,2 h 55m
Nürnberg hbf,Berlin hbf,2 h 55m
Berlin hbf,Kaiserslautern hbf,5 h 35m
Kaiserslautern hbf,Berlin hbf,5 h 35m
Berlin hbf,Magdeburg hbf,1 h 24m
Magdeburg hbf,Berlin hbf,1 h 24m
Berlin hbf,Braunschweig hbf,1 h 23m
Braunschweig hbf,Berlin hbf,1 h 23m
Berlin hbf,Ulm hbf,5 h 43m
Ulm hbf,Berlin hbf,5 h 43m
Berlin hbf,Münster (Westf) hbf,3 h 21m
Münster (Westf) hbf,Berlin hbf,3 h 21m
Berlin hbf,Rostock hbf,2 h 5m
Rostock hbf,Berlin hbf,2 h 5m
Sinsheim (Elsenz) hbf,Mainz hbf,1 h 48m
Mainz hbf,Sinsheim (Elsenz) hbf,1 h 48m
Sinsheim (Elsenz) hbf,Wolfsburg hbf,4 h 54m
Wolfsburg hbf,Sinsheim (Elsenz) hbf,4 h 54m
Sinsheim (Elsenz) hbf,Mönchengladbach hbf,3 h 47m
Mönchengladbach hbf,Sinsheim (Elsenz) hbf,3 h 47m
Sinsheim (Elsenz) hbf,Bremen hbf,5 h 30m
Bremen hbf,Sinsheim (Elsenz) hbf,5 h 30m
Sinsheim (Elsenz) hbf,Augsburg hbf,3 h 23m
Augsburg hbf,Sinsheim (Elsenz) hbf,3 h 23m
Sinsheim (Elsenz) hbf,Bochum hbf,4 h 19m
Bochum hbf,Sinsheim (Elsenz) hbf,4 h 19m
Sinsheim (Elsenz) hbf,Hamburg hbf,5 h 43m
Hamburg hbf,Sinsheim (Elsenz) hbf,5 h 43m
Sinsheim (Elsenz) hbf,Kiel hbf,6 h 55m
Kiel hbf,Sinsheim (Elsenz) hbf,6 h 55m
Sinsheim (Elsenz) hbf,Köln hbf,2 h 41m
Köln hbf,Sinsheim (Elsenz) hbf,2 h 41m
Sinsheim (Elsenz) hbf,Darmstadt hbf,1 h 27m
Darmstadt hbf,Sinsheim (Elsenz) hbf,1 h 27m
Sinsheim (Elsenz) hbf,Düsseldorf hbf,3 h 14m
Düsseldorf hbf,Sinsheim (Elsenz) hbf,3 h 14m
Sinsheim (Elsenz) hbf,Karlsruhe hbf,1 h 12m
Karlsruhe hbf,Sinsheim (Elsenz) hbf,1 h 12m
Sinsheim (Elsenz) hbf,Hannover hbf,4 h 24m
Hannover hbf,Sinsheim (Elsenz) hbf,4 h 24m
Sinsheim (Elsenz) hbf,Paderborn hbf,4 h 45m
Paderborn hbf,Sinsheim (Elsenz) hbf,4 h 45m
Sinsheim (Elsenz) hbf,Fürth hbf,4 h 7m
Fürth hbf,Sinsheim (Elsenz) hbf,4 h 7m
Sinsheim (Elsenz) hbf,Gelsenkirchen hbf,3 h 57m
Gelsenkirchen hbf,Sinsheim (Elsenz) hbf,3 h 57m
Sinsheim (Elsenz) hbf,Neunkirchen hbf,2 h 42m
Neunkirchen hbf,Sinsheim (Elsenz) hbf,2 h 42m
Sinsheim (Elsenz) hbf,Nürnberg hbf,3 h 42m
Nürnberg hbf,Sinsheim (Elsenz) hbf,3 h 42m
Sinsheim (Elsenz) hbf,Kaiserslautern hbf,2 h
Kaiserslautern hbf,Sinsheim (Elsenz) hbf,2 h
Sinsheim (Elsenz) hbf,Magdeburg hbf,5 h 30m
Magdeburg hbf,Sinsheim (Elsenz) hbf,5 h 30m
Sinsheim (Elsenz) hbf,Braunschweig hbf,4 h 35m
Braunschweig hbf,Sinsheim (Elsenz) hbf,4 h 35m
Sinsheim (Elsenz) hbf,Ulm hbf,2 h 37m
Ulm hbf,Sinsheim (Elsenz) hbf,2 h 37m
Sinsheim (Elsenz) hbf,Münster (Westf) hbf,4 h 33m
Münster (Westf) hbf,Sinsheim (Elsenz) hbf,4 h 33m
Sinsheim (Elsenz) hbf,Rostock hbf,8 h 13m
Rostock hbf,Sinsheim (Elsenz) hbf,8 h 13m
Mainz hbf,Wolfsburg hbf,3 h 37m
Wolfsburg hbf,Mainz hbf,3 h 37m
Mainz hbf,Mönchengladbach hbf,2 h 28m
Mönchengladbach hbf,Mainz hbf,2 h 28m
